HUGO symbol	Entrez Gene ID	cohort
SPRTN	83932	PANCAN
SPTSSB	165679	PANCAN
SPTY2D1	144108	PANCAN
SPZ1	84654	PANCAN
SREK1IP1	285672	PANCAN
SRP54	6729	PANCAN
SRSF12	135295	PANCAN
SRSF6	6431	PANCAN
SRSF7	6432	PANCAN
SSMEM1	136263	PANCAN
ST20	400410	PANCAN
STYX	6815	PANCAN
SYCP1	6847	PANCAN
SYCP3	50511	PANCAN
TAF1D	79101	PANCAN
TATDN3	128387	PANCAN
TBC1D3B	414059	PANCAN
TBC1D8B	54885	PANCAN
TBL1XR1	79718	PANCAN
TCEAL4	79921	PANCAN
TCEAL7	56849	PANCAN
TCP10L	140290	PANCAN
TCP11L2	255394	PANCAN
TDG	6996	PANCAN
TDP2	51567	PANCAN
TDRP	157695	PANCAN
TEX36	387718	PANCAN
TIMP3	7078	PANCAN
TK2	7084	PANCAN
TM6SF1	53346	PANCAN
TMA16	55319	PANCAN
TMCO2	127391	PANCAN
TMEM170B	100113407	PANCAN
TMEM244	253582	PANCAN
TMEM30A	55754	PANCAN
TMEM56	148534	PANCAN
TNFRSF10C	8794	PANCAN
TNFSF18	8995	PANCAN
TNNI3K	51086	PANCAN
TOR4A	54863	PANCAN
TP53	7157	PANCAN
TPM1	7168	PANCAN
TPRKB	51002	PANCAN
TRA2A	29896	PANCAN
TRA2B	6434	PANCAN
TRAC	28755	PANCAN
TRAPPC3L	100128327	PANCAN
TRAPPC6B	122553	PANCAN
TRAV12-1	28674	PANCAN
TRBV2	28620	PANCAN
TRBV3-1	28619	PANCAN
TRBV6-7	28600	PANCAN
TRIM77	390231	PANCAN
TRIP4	9325	PANCAN
TRMT13	54482	PANCAN
TRMT1L	81627	PANCAN
TSGA10	80705	PANCAN
TSPAN12	23554	PANCAN
TSPAN8	7103	PANCAN
TTC32	130502	PANCAN
TTK	7272	PANCAN
TTLL7	79739	PANCAN
TULP3	7289	PANCAN
TXNL4B	54957	PANCAN
UBE2D3	7323	PANCAN
UBE2K	3093	PANCAN
UBE2N	7334	PANCAN
UGCG	7357	PANCAN
UGP2	7360	PANCAN
UGT2B17	7367	PANCAN
UQCRB	7381	PANCAN
VHL	7428	PANCAN
WDR44	54521	PANCAN
WDR47	22911	PANCAN
WNT8B	7479	PANCAN
YTHDC1	91746	PANCAN
ZBED2	79413	PANCAN
ZC3H13	23091	PANCAN
ZFP3	124961	PANCAN
ZFP36L2	678	PANCAN
ZNF136	7695	PANCAN
ZNF207	7756	PANCAN
ZNF214	7761	PANCAN
ZNF334	55713	PANCAN
ZNF382	84911	PANCAN
ZNF428	126299	PANCAN
ZNF559	84527	PANCAN
ZNF589	51385	PANCAN
ZNF620	253639	PANCAN
ZNF66	7617	PANCAN
ZNF660	285349	PANCAN
ZNF75A	7627	PANCAN
ZNF773	374928	PANCAN
ZNF780A	284323	PANCAN
ZNF860	344787	PANCAN
ZNF90	7643	PANCAN
ZSCAN30	100101467	PANCAN
